School,SCHID,LEA,class,dindex,pctwhite,pctblack,schoolsum,pctlatinx
Arlington Community High,02875,ARLINGTON CO PBLC SCHS,bio,0,0,0,26,1
Arlington Community High,02875,ARLINGTON CO PBLC SCHS,gate,0,0,0,2,NA
Arlington Community High,02875,ARLINGTON CO PBLC SCHS,alg2,0.31999999999999984,0,0.2,10,0.8
Arlington Community High,02875,ARLINGTON CO PBLC SCHS,enr,0.31618480725623593,0.04166666666666667,0.0654761904761905,168,0.8214285714285715
Langston High Continuation Program,02944,ARLINGTON CO PBLC SCHS,alg11112,0.9,0,0,10,NA
Langston High Continuation Program,02944,ARLINGTON CO PBLC SCHS,alg10910,0.75,0,0,2,NA
Langston High Continuation Program,02944,ARLINGTON CO PBLC SCHS,bio,0.5813148788927336,0.23529411764705882,0.11764705882352941,17,0.5882352941176471
Langston High Continuation Program,02944,ARLINGTON CO PBLC SCHS,gate,0.6446280991735538,0.2727272727272727,0,11,NA
Langston High Continuation Program,02944,ARLINGTON CO PBLC SCHS,alg2,0.48,0.4,0,5,0.6
Langston High Continuation Program,02944,ARLINGTON CO PBLC SCHS,enr,0.6540642722117203,0.21739130434782608,0.18478260869565216,92,0.5108695652173914
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,alg11112,0.75,1,0,2,NA
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,alg10910,0.3733459357277883,0.9083333333333333,0.008333333333333333,138,NA
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,chem,0,1,0,60,0
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,bio,0.04335422771643138,0.9779735682819384,0.004405286343612335,227,0.013215859030837005
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,gate,0,1,0,80,NA
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,apany,0,1,0,32,0
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,alg2,0,1,0,37,0
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,enr,0.07267380802352441,0.9627329192546584,0.010351966873706004,483,0.014492753623188406
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,alg11112,0.4628099173553719,0.8888888888888888,0,11,NA
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,alg10910,0.4593737613951644,0.8581081081081081,0.020270270270270268,174,NA
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,chem,0.1946998377501351,0.8953488372093024,0.011627906976744186,86,0.046511627906976744
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,bio,0.2261601784648254,0.8770226537216829,0.012944983818770229,309,0.04854368932038835
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,gate,0.12465868515017853,0.9347826086956522,0,138,NA
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,apany,0.24418270611893134,0.864406779661017,0,59,0.0847457627118644
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,alg2,0.20781250000000007,0.8875,0,80,0.05
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,enr,0.22406992715920915,0.8774193548387097,0.00903225806451613,775,0.07096774193548387
Riverheads High,00129,AUGUSTA CO PBLC SCHS,alg11112,0.5,0.5,0,2,NA
Riverheads High,00129,AUGUSTA CO PBLC SCHS,alg10910,0.2968076557820146,0.9245283018867925,0.028301886792452827,117,NA
Riverheads High,00129,AUGUSTA CO PBLC SCHS,chem,0.19252077562326864,0.8947368421052632,0,38,0
Riverheads High,00129,AUGUSTA CO PBLC SCHS,bio,0.18481033047867057,0.9015544041450777,0.020725388601036274,193,0.02072538860103627
Riverheads High,00129,AUGUSTA CO PBLC SCHS,gate,0.10145429362880887,0.9473684210526315,0,76,NA
Riverheads High,00129,AUGUSTA CO PBLC SCHS,apany,0.14464168310322134,0.9230769230769231,0.02564102564102564,39,0
Riverheads High,00129,AUGUSTA CO PBLC SCHS,alg2,0.060546875,0.96875,0,32,0
Riverheads High,00129,AUGUSTA CO PBLC SCHS,enr,0.1193012817046133,0.9379157427937915,0.013303769401330377,451,0.013303769401330377
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,alg11112,0,1,0,5,NA
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,alg10910,0.44337098692033283,0.826923076923077,0.038461538461538464,116,NA
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,chem,0.23190082644628107,0.8727272727272727,0.009090909090909092,110,0.07272727272727272
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,bio,0.1750889213066924,0.9068825910931174,0.02834008097165992,247,0.032388663967611336
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,gate,0.2246857590772937,0.8783068783068783,0.03174603174603175,189,NA
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,apany,0.11865234375,0.9375,0,64,0.015625
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,alg2,0.20741357767596835,0.8877551020408163,0.01020408163265306,98,0.061224489795918366
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,enr,0.20512780499984395,0.8896648044692738,0.02374301675977653,716,0.04189944134078212
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,alg11112,0.49609375,0.7333333333333333,0.13333333333333333,16,NA
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,alg10910,0.44679073808012304,0.8366013071895425,0.0326797385620915,173,NA
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,chem,0.18930041152263388,0.8981481481481481,0.009259259259259259,108,0.05555555555555555
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,bio,0.23929201310153703,0.8690476190476191,0.03968253968253968,252,0.05555555555555555
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,gate,0.10730124391563012,0.9441860465116279,0.018604651162790697,215,NA
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,apany,0.19059917355371903,0.8977272727272727,0.034090909090909095,88,0
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,alg2,0.05836489195811989,0.9701492537313433,0,67,0.014925373134328358
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,enr,0.2610527286299137,0.8561917443408789,0.0426098535286285,751,0.05326231691078562
Bath County High,00139,BATH CO PBLC SCHS,alg11112,0.5555555555555556,1,0,3,NA
Bath County High,00139,BATH CO PBLC SCHS,alg10910,0.45501730103806215,0.8928571428571428,0,34,NA
Bath County High,00139,BATH CO PBLC SCHS,alg108,0,1,0,10,NA
Bath County High,00139,BATH CO PBLC SCHS,chem,0.1449704142011834,0.9230769230769231,0,26,0
Bath County High,00139,BATH CO PBLC SCHS,bio,0.2662500000000001,0.85,0.07500000000000001,40,0
Bath County High,00139,BATH CO PBLC SCHS,gate,0,1,0,13,NA
Bath County High,00139,BATH CO PBLC SCHS,apany,0,1,0,8,0
Bath County High,00139,BATH CO PBLC SCHS,alg2,0.2662500000000001,0.85,0.07500000000000001,40,0
Bath County High,00139,BATH CO PBLC SCHS,enr,0.188332100591716,0.8990384615384616,0.028846153846153848,208,0.014423076923076924
Liberty High,00151,BEDFORD CO PBLC SCHS,alg11112,0.9197530864197531,0.3846153846153846,0,18,NA
Liberty High,00151,BEDFORD CO PBLC SCHS,alg10910,0.9131878222787315,0.35882352941176465,0.09117647058823529,429,NA
Liberty High,00151,BEDFORD CO PBLC SCHS,chem,0.30908587476761196,0.8238993710691824,0.09433962264150944,159,0.025157232704402517
Liberty High,00151,BEDFORD CO PBLC SCHS,bio,0.9069093083856635,0.3006535947712418,0.04967320261437908,765,0.009150326797385621
Liberty High,00151,BEDFORD CO PBLC SCHS,gate,0.9171881200207563,0.28729281767955805,0.011049723756906077,181,NA
Liberty High,00151,BEDFORD CO PBLC SCHS,apany,0.9318413542871138,0.26014319809069214,0.014319809069212408,419,0.007159904534606206
Liberty High,00151,BEDFORD CO PBLC SCHS,alg2,0.9468131299599967,0.22796352583586627,0.03343465045592705,329,0.00303951367781155
